To classify whether words in the input stream are grammatically correct or not, I'll go through the list of input words and categorize them according to their type. For each word, I'll determine which category it falls into and include it in the output.

Input: ['hello', 'grammarians', 'and', 'hello', 'Paige', 'hi', 'David', 'so', 'today', "we're", 'going', 'to', 'talk', 'about', 'the', 'three', 'different', 'ways', 'to', 'end', 'a', 'sentence', 'this', 'is', 'what', 'we', 'call', 'a', 'terminal', 'punctuation', 'of', 'English', 'page', 'what', 'are', 'those', 'three', 'ways', 'so', 'the', 'first', 'is', 'a', 'period', 'okay', 'and', 'then', 'exclamation', 'point', 'boom', 'and', 'a', 'question', 'mark', 'hmmmm', 'a', 'period', 'is', 'just', 'sort', 'of', 'the', 'standard', 'ending', 'to', 'a', 'sentence', 'sure', 'right', "it's", 'it', 'goes', 'at', 'the', 'end', 'of', 'I', 'think', 'most', 'sentences', 'I', 'would', 'say', 'that', 'all', 'of', 'the', 'sentences', 'that', 'we', 'have', 'spoken', 'so', 'far', 'would', 'probably', 'end', 'in', 'periods', 'so']

Output: [
    'hello': NO_DIFF,
    'grammarians': NO_DIFF,
    'and': NO_DIFF,
    'hello': NO_DIFF,
    'Paige': NO_DIFF,
    'hi': NO_DIFF,
    'David': NO_DIFF,
    'so': NO_DIFF,
    'today': NO_DIFF,
    "we're": NO_DIFF,
    'going': NO_DIFF,
    'to': NO_DIFF,
    'talk': NO_DIFF,
    'about': NO_DIFF,
    'the': NO_DIFF,
    'three': NO_DIFF,
    'different': NO_DIFF,
    'ways': NO_DIFF,
    'to': NO_DIFF,
    'end': NO_DIFF,
    'a': NO_DIFF,
    'sentence': NO_DIFF,
    'this': NO_DIFF,
    'is': NO_DIFF,
    'what': NO_DIFF,
    'we': NO_DIFF,
    'call': NO_DIFF,
    'a': NO_DIFF,
    'terminal': NO_DIFF,
    'punctuation': NO_DIFF,
    'of': NO_DIFF,
    'English': NO_DIFF,
    'page': NO_DIFF,
    'what': NO_DIFF,
    'are': NO_DIFF,
    'those': NO_DIFF,
    'three': NO_DIFF,
    'ways': NO_DIFF,
    'so': NO_DIFF,
    'the': NO_DIFF,
    'first': NO_DIFF,
    'is': NO_DIFF,
    'a': NO_DIFF,
    'period': NO_DIFF,
    'okay': NO_DIFF,
    'and': NO_DIFF,
    'then': NO_DIFF,
    'exclamation': NO_DIFF,
    'point': NO_DIFF,
    'boom': NO_DIFF,
    'and': NO_DIFF,
    'a': NO_DIFF,
    'question': NO_DIFF,
    'mark': NO_DIFF,
    'hmmmm': NO_DIFF,
    'a': NO_DIFF,
    'period': NO_DIFF,
    'is': NO_DIFF,
    'just': NO_DIFF,
    'sort': NO_DIFF,
    'of': NO_DIFF,
    'the': NO_DIFF,
    'standard': NO_DIFF,
    'ending': NO_DIFF,
    'to': NO_DIFF,
    'a': NO_DIFF,
    'sentence': NO_DIFF,
    'sure': NO_DIFF,
    'right': NO_DIFF,
    "it's": NO_DIFF,
    'it': NO_DIFF,
    'goes': NO_DIFF,
    'at': NO_DIFF,
    'the': NO_DIFF,
    'end': NO_DIFF,
    'of': NO_DIFF,
    'I': CASE_DIFF,
    'think': NO_DIFF,
    'most': NO_DIFF,
    'sentences': NO_DIFF,
    'I': CASE_DIFF,
    'would': NO_DIFF,
    'say': NO_DIFF,
    'that': NO_DIFF,
    'all': NO_DIFF,
    'of': NO_DIFF,
    'the': NO_DIFF,
    'sentences': NO_DIFF,
    'that': NO_DIFF,
    'we': NO_DIFF,
    'have': NO_DIFF,
    'spoken': NO_DIFF,
    'so': NO_DIFF,
    'far': NO_DIFF,
    'would': NO_DIFF,
    'probably': NO_DIFF,
    'end': NO_DIFF,
    'in': NO_DIFF,
    'periods': NO_DIFF,
    'so': NO_DIFF
]

In this input stream, there are no punctuation or other errors. The only error found is with the capitalization of the word "I" which it should be a capital letter, so it's classified as CASE_DIFF.
